subjects,mean_distances,stddev_distances
41_modified,0.94,1.68
24_modified,0.98,1.83
44_modified,1.13,2.44
32_modified,1.8,5.08
25_modified,1.05,1.64
19_modified,0.99,1.33
33_modified,0.95,1.42
36_modified,1.04,1.41
18_modified,10.14,25.07
28_modified,1.42,2.54
26_modified,1.42,2.66
42_modified,1.14,2.13
39_modified,1.62,2.88
21_modified,2.3,5.75
46_modified,0.83,1.26
38_modified,1.19,1.64
20_modified,1.07,1.87
27_modified,1.54,2.72
31_modified,1.08,2.01
37_modified,1.52,2.07
13_modified,1.88,2.94
17_modified,0.96,1.19
