subjects,dice_coeff,jaccard_coeff,volume_similarity
41_modified,0.86,0.76,-0.08
24_modified,0.85,0.74,0.02
44_modified,0.82,0.7,0.02
32_modified,0.82,0.69,-0.05
25_modified,0.83,0.71,-0.01
19_modified,0.81,0.67,0.04
33_modified,0.82,0.69,-0.07
36_modified,0.82,0.7,-0.22
18_modified,0.85,0.75,0.1
28_modified,0.75,0.6,-0.1
26_modified,0.75,0.6,-0.1
42_modified,0.82,0.7,-0.01
39_modified,0.81,0.68,-0.18
21_modified,0.78,0.63,0.0
46_modified,0.86,0.75,-0.03
38_modified,0.77,0.63,-0.07
20_modified,0.83,0.71,0.02
27_modified,0.8,0.67,0.0
31_modified,0.81,0.68,-0.05
37_modified,0.69,0.53,0.03
13_modified,0.75,0.61,-0.22
17_modified,0.8,0.66,0.22
12_modified,0.88,0.79,0.0
10_modified,0.82,0.69,0.13
4_modified,0.87,0.78,-0.11
1_modified,0.86,0.75,0.02
22_modified,0.86,0.75,-0.09
35_modified,0.88,0.79,0.03
16_modified,0.87,0.77,-0.09
11_modified,0.83,0.71,0.08
29_modified,0.87,0.77,0.02
23_modified,0.83,0.71,-0.1
34_modified,0.86,0.75,-0.13
7_modified,0.86,0.75,0.06
30_modified,0.81,0.68,0.18
2_modified,0.84,0.72,-0.07
3_modified,0.88,0.79,-0.02
8_modified,0.87,0.78,-0.02
14_modified,0.86,0.75,0.05
40_modified,0.86,0.75,-0.09
45_modified,0.88,0.79,0.03
43_modified,0.83,0.7,0.09
15_modified,0.85,0.74,0.04
9_modified,0.86,0.75,0.04
