subjects,dice_coeff,jaccard_coeff,volume_similarity
12_modified,0.88,0.78,-0.02
10_modified,0.83,0.72,0.16
4_modified,0.89,0.8,-0.03
1_modified,0.82,0.69,0.07
22_modified,0.84,0.72,-0.08
35_modified,0.86,0.76,-0.01
16_modified,0.88,0.78,-0.11
11_modified,0.84,0.72,0.06
29_modified,0.86,0.76,0.03
23_modified,0.82,0.7,-0.17
34_modified,0.86,0.76,-0.12
7_modified,0.85,0.74,0.06
30_modified,0.81,0.67,0.23
2_modified,0.84,0.72,-0.11
3_modified,0.86,0.75,0.0
8_modified,0.86,0.76,-0.06
14_modified,0.87,0.77,-0.02
40_modified,0.86,0.75,-0.09
45_modified,0.87,0.77,0.04
43_modified,0.81,0.68,0.06
15_modified,0.82,0.69,0.01
9_modified,0.85,0.74,-0.03
