subjects,dice_coeff,jaccard_coeff,volume_similarity
41_modified,0.84,0.72,-0.11
24_modified,0.82,0.69,-0.05
44_modified,0.81,0.68,0.06
32_modified,0.81,0.68,-0.07
25_modified,0.82,0.69,-0.03
19_modified,0.8,0.66,-0.0
33_modified,0.81,0.67,-0.06
36_modified,0.81,0.69,-0.24
18_modified,0.76,0.62,-0.27
28_modified,0.76,0.61,-0.05
26_modified,0.75,0.6,-0.02
42_modified,0.81,0.69,-0.11
39_modified,0.78,0.65,-0.26
21_modified,0.77,0.62,0.05
46_modified,0.84,0.73,-0.05
38_modified,0.78,0.65,-0.1
20_modified,0.83,0.7,0.04
27_modified,0.79,0.65,0.08
31_modified,0.8,0.67,0.01
37_modified,0.71,0.55,0.04
13_modified,0.7,0.54,-0.23
17_modified,0.8,0.67,0.19
