subjects,mean_distances,stddev_distances
41_modified,0.79,1.6
24_modified,0.79,1.62
44_modified,0.85,1.53
32_modified,1.85,5.4
25_modified,0.92,1.5
19_modified,0.98,1.32
33_modified,0.91,1.49
36_modified,1.02,1.49
18_modified,0.91,2.19
28_modified,1.54,3.15
26_modified,1.31,2.24
42_modified,1.09,1.98
39_modified,1.42,2.73
21_modified,2.07,4.72
46_modified,0.71,0.94
38_modified,1.31,1.68
20_modified,1.09,2.15
27_modified,1.51,2.89
31_modified,0.96,1.55
37_modified,1.63,2.3
13_modified,1.47,2.46
17_modified,0.99,1.14
12_modified,0.63,1.54
10_modified,1.13,1.89
4_modified,0.73,0.88
1_modified,0.64,0.85
22_modified,0.79,1.2
35_modified,0.63,1.14
16_modified,0.69,0.83
11_modified,0.79,1.39
29_modified,0.96,2.86
23_modified,0.8,1.44
34_modified,0.76,1.15
7_modified,0.78,1.29
30_modified,0.81,0.97
2_modified,0.82,1.48
3_modified,0.55,0.86
8_modified,0.66,1.14
14_modified,1.08,3.4
40_modified,0.95,1.97
45_modified,0.51,1.01
43_modified,0.86,1.23
15_modified,0.71,1.31
9_modified,0.65,0.94
