subjects,mean_distances,stddev_distances
12_modified,0.72,2.01
10_modified,1.06,1.97
4_modified,0.72,1.28
1_modified,0.93,1.53
22_modified,0.93,1.35
35_modified,0.7,0.93
16_modified,0.71,1.24
11_modified,0.76,1.37
29_modified,0.73,1.16
23_modified,0.79,1.35
34_modified,0.73,1.22
7_modified,0.77,1.2
30_modified,0.85,0.93
2_modified,0.85,1.8
3_modified,0.79,1.53
8_modified,0.67,1.06
14_modified,0.6,0.96
40_modified,0.96,1.98
45_modified,0.58,1.1
43_modified,0.91,1.25
15_modified,1.1,2.58
9_modified,0.65,1.08
